iteration;g_mean;velocity_mean
0;0.38125953227039083;0.30641831785882123
1;0.664787197485501;0.38818139994034984
2;0.7007769693794892;0.26895753836245434
3;0.6256090167253074;0.14362769949832235
4;0.5171881827020711;0.10416242896219956
5;0.48768701882555315;0.1747997545679395
6;0.5509668419191783;0.2617760658876972
7;0.6235422413016751;0.2692794138608379
8;0.6252765244053814;0.18834122315805785
9;0.5490324679329779;0.09863316223623873
10;0.4669583327274389;0.08649111198976628
11;0.4617424353836317;0.16260860140631295
12;0.5388020124535832;0.2490011612854252
13;0.617750658144967;0.2554155074032517
14;0.621779094233875;0.17607934461077124
15;0.5434703766253822;0.08427768558461564
16;0.4525551035272472;0.06476540551964041
17;0.4343012967432598;0.1330538558887698
18;0.5020896654182873;0.21951355040845302
19;0.5848462496599033;0.2382978185363454
20;0.6036853809381981;0.1754144789616593
21;0.5452585086073785;0.09475546430022017
22;0.46578622738609077;0.06999678103375995
23;0.4430493201405484;0.12207475792148127
24;0.493012035641541;0.19317217144991883
25;0.559237974117143;0.20858729913660323
26;0.5748784233671067;0.15578373746198387
27;0.5248113524868507;0.08741762316406133
28;0.4596821944188383;0.07180077481036218
29;0.44654160295945283;0.12290770502095666
30;0.4966667409177489;0.18565528817906182
31;0.5538068322345674;0.19136742649717683
32;0.5579779864877445;0.1345806056887727
33;0.5023998055088224;0.0708188973270611
34;0.43988060268433027;0.06283219026482564
35;0.4341696093092667;0.11879321832348685
36;0.4882757565132942;0.1785007829169731
37;0.5470234924147568;0.1828527290208346
38;0.5510229401098075;0.12466209231756802
39;0.4945933770473281;0.059663963983648684
40;0.4309268356385609;0.048539431677126404
41;0.41969302282310766;0.10116396748979088
42;0.46975063982533055;0.16352543199337993
43;0.531719576069357;0.1755404471733187
44;0.5456522108215501;0.1251199810621355
45;0.49649752367415895;0.05828527722024933
46;0.4326124793339829;0.04035955002506822
47;0.4164409255641438;0.08624555149745572
48;0.4579146081163848;0.1439063957562238
49;0.5142386955720417;0.1562048784053746
